"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","28/1216","54/7697",0.518518518518518,3.28210282651072,7.28917648142154,7.82106741921262e-10,2.73737359672442e-07,2.19813157992607e-07,"13849/14870/66447/13106/71755/74134/14862/12408/94284/14865/13107/68312/621603/14872/14863/54486/14866/14867/11529/14860/13076/394435/22236/14859/100042314/11522/394436/12409",28
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","25/1216","55/7697",0.454545454545455,2.87716806220096,6.05144779333786,1.83292837439206e-07,3.20762465518611e-05,2.57574671559305e-05,"14677/11515/18576/16367/14683/74769/22095/19224/19218/18747/18709/11513/18710/11832/23945/11556/224129/11512/103968/16369/104111/11539/16890/19091/22094",25
"Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism","20/1216","42/7697",0.476190476190476,3.01417606516291,5.66927840625595,1.24900275339574e-06,0.00014571698789617,0.000117011836897075,"17436/60525/110695/68126/18563/56752/76238/11669/66204/16832/107476/235339/107029/18534/100705/109801/14194/17449/11529/11522",20
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","23/1216","54/7697",0.425925925925926,2.69601303606238,5.41716972216902,2.30840781445049e-06,0.000174390621409497,0.000140036980199506,"14870/66447/13106/14862/94284/14865/17161/68312/621603/14872/11761/14863/54486/14866/14867/11529/14860/394435/22236/14859/100042314/11522/394436",23
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","21/1216","47/7697",0.446808510638298,2.82819498880179,5.44526514778924,2.49129459156424e-06,0.000174390621409497,0.000140036980199506,"13849/14870/66447/13106/14862/12408/94284/14865/68312/14872/14863/54486/14866/14867/14860/13076/394435/22236/14859/100042314/394436",21
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes","27/1216","75/7697",0.36,2.27871710526316,4.82002111178678,1.43685167787543e-05,0.000838163478760665,0.000673051575425857,"14870/66447/13106/382985/14862/234564/76654/94284/14865/68312/110006/234673/171567/14872/14863/22017/14866/14867/14860/72962/394435/72269/22236/14859/100042314/56520/394436",27
"Organismal Systems","Digestive system","mmu04970","Salivary secretion","26/1216","76/7697",0.342105263157895,2.16544754155125,4.42254083563839,5.68991177523506e-05,0.00260071439280222,0.00208839321166374,"234889/11515/14683/17105/98660/18747/12315/20496/11513/11556/17110/224129/11512/11932/11549/16439/16438/20535/104111/18797/75600/19091/11548/12671/13010/60596",26
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation","10/1216","17/7697",0.588235294117647,3.7233939628483,4.86891987110971,6.24631009676568e-05,0.00260071439280222,0.00208839321166374,"52120/15211/27029/545291/11881/15931/15932/110006/12091/27419",10
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism","14/1216","30/7697",0.466666666666667,2.95389254385965,4.64437071113248,6.68755129577714e-05,0.00260071439280222,0.00208839321166374,"60525/12359/434437/11428/66904/17850/76238/68133/68180/110821/235582/12974/17449/71832",14
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","59/1216","242/7697",0.243801652892562,1.54320832427142,3.719020582522,0.000288409240279015,0.00972926147655084,0.00781267011801225,"64291/140494/52120/20661/15211/14387/27029/52187/14420/18145/12751/74008/79196/110173/17159/11881/14667/16004/13033/320528/11593/68526/218035/15931/20615/235504/15932/11883/56325/56464/19025/16889/229445/19156/83429/83409/13423/110006/192654/20597/66848/171166/26889/12091/72368/27419/71665/12752/54397/268706/68724/75425/108012/13034/13038/66096/245670/242341/63959",59
