"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","104/1841","433/17229",0.240184757505774,2.24776924881422,9.0955408863177,8.29635532051318e-16,4.83013806760277e-12,4.7594880522944e-12,"Kri1/Ftsj3/Adar/Riok3/Tbl3/Dcaf13/Mybbp1a/Pak1ip1/Eif2s2/Rcl1/Ngdn/Wdr74/Nop58/Prpf31/Nop2/Ncl/Fbl/Nhp2/Pwp2/Nop56/Eif5/Wdr43/Lsg1/Rrp9/Ebna1bp2/Ddx54/Utp14a/Nopchap1/Mak16/Urb2/Nol10/Mrto4/Exosc2/Heatr1/Nom1/Suv39h1/Fcf1/Ddx39b/Nip7/Noc2l/Pa2g4/Isg20l2/Bysl/Yju2/Utp18/Eif3b/Utp20/Ran/Ddx56/Smn1/Rexo1/Ltv1/Eif3d/Nat10/Gar1/Rbm34/Ddx3x/Afg2a/Gnl2/Pes1/Utp3/Nmd3/Ythdf2/Snrpd1/Pno1/Usp39/Ddx49/Ddx27/Aatf/Exosc9/Utp15/Rplp0/Nufip1/Usp16/Nol9/Ddx10/Usp36/Nob1/Taf9/Riox1/Utp4/Shq1/Pwp1/Clp1/Brix1/Malsu1/Gtpbp4/Lsm4/Esf1/Wdr46/Mrm3/Rps5/Ptbp2/Ddx20/Rpl27/Ddx28/Atm/Snrpf/Rrp1b/Lyar/Gemin4/Celf6/Celf4/Celf3",104
"GO:0042254","ribosome biogenesis","80/1841","306/17229",0.261437908496732,2.44666687967963,8.83168990238084,1.43165112456224e-14,4.16753642360069e-11,4.10657822571802e-11,"Kri1/Ftsj3/Riok3/Tbl3/Dcaf13/Mybbp1a/Pak1ip1/Rcl1/Ngdn/Wdr74/Nop58/Nop2/Ncl/Fbl/Nhp2/Pwp2/Nop56/Eif5/Wdr43/Lsg1/Rrp9/Ebna1bp2/Ddx54/Utp14a/Mak16/Urb2/Nol10/Mrto4/Exosc2/Heatr1/Nom1/Suv39h1/Fcf1/Nip7/Noc2l/Pa2g4/Isg20l2/Bysl/Utp18/Utp20/Ran/Ddx56/Rexo1/Ltv1/Nat10/Gar1/Rbm34/Ddx3x/Afg2a/Gnl2/Pes1/Utp3/Nmd3/Ythdf2/Pno1/Ddx49/Ddx27/Aatf/Exosc9/Utp15/Rplp0/Usp16/Nol9/Ddx10/Usp36/Nob1/Riox1/Utp4/Pwp1/Brix1/Malsu1/Gtpbp4/Esf1/Wdr46/Mrm3/Rps5/Rpl27/Ddx28/Rrp1b/Lyar",80
"GO:0006364","rRNA processing","56/1841","213/17229",0.262910798122066,2.46045091843839,7.41824660361521,1.03358402004141e-10,2.0058420548937e-07,1.97650277516691e-07,"Kri1/Ftsj3/Riok3/Tbl3/Dcaf13/Pak1ip1/Rcl1/Ngdn/Wdr74/Nop2/Ncl/Fbl/Nhp2/Pwp2/Wdr43/Rrp9/Ebna1bp2/Ddx54/Utp14a/Mak16/Nol10/Mrto4/Exosc2/Heatr1/Suv39h1/Fcf1/Pa2g4/Bysl/Utp18/Utp20/Ddx56/Rexo1/Nat10/Gar1/Rbm34/Pes1/Utp3/Ythdf2/Ddx49/Ddx27/Exosc9/Utp15/Nol9/Ddx10/Usp36/Nob1/Utp4/Pwp1/Brix1/Gtpbp4/Esf1/Wdr46/Mrm3/Rpl27/Rrp1b/Lyar",56
"GO:0016072","rRNA metabolic process","62/1841","251/17229",0.247011952191235,2.31166155584073,7.24050108357699,1.73415135502602e-10,2.52405729724038e-07,2.48713812760311e-07,"Macroh2a1/Kri1/Ftsj3/Riok3/Tbl3/Dcaf13/Pak1ip1/Rcl1/Ngdn/Wdr74/Nop2/Ncl/Fbl/Nhp2/Pwp2/Wdr43/Rrp9/Ebna1bp2/Ddx54/Utp14a/Mak16/Nol10/Mrto4/Exosc2/Heatr1/Suv39h1/Fcf1/Pa2g4/Bysl/Utp18/Utp20/Xrn1/Ddx56/Rexo1/Nat10/Gar1/Rbm34/Pes1/Polr1b/Utp3/Polr1f/Ythdf2/Ddx49/Polr1e/Ddx27/Exosc9/Utp15/Nol9/Ddx10/Usp36/Nob1/Utp4/Pwp1/Brix1/Gtpbp4/Esf1/Wdr46/Mrm3/Rpl27/Rrp1b/Lyar/Slfn14",62
"GO:0042274","ribosomal small subunit biogenesis","29/1841","105/17229",0.276190476190476,2.58472879646155,5.63378444793193,1.07050984951418e-06,0.00124650166877431,0.00122826919575838,"Kri1/Riok3/Tbl3/Dcaf13/Rcl1/Ngdn/Nop58/Fbl/Pwp2/Nop56/Wdr43/Rrp9/Nol10/Heatr1/Nom1/Fcf1/Bysl/Utp18/Utp20/Ltv1/Nat10/Utp3/Pno1/Aatf/Utp15/Nob1/Utp4/Wdr46/Rps5",29
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","14/1841","33/17229",0.424242424242424,3.97027307293467,5.90735223135229,2.75558762334539e-06,0.00267383852385281,0.00263472851705831,"Kri1/Tbl3/Dcaf13/Rcl1/Ngdn/Pwp2/Wdr43/Nol10/Heatr1/Fcf1/Bysl/Utp3/Utp4/Wdr46",14
"GO:0007612","learning","43/1841","199/17229",0.21608040201005,2.02218861826787,5.01653090505926,4.94634210198743e-06,0.00411394338825297,0.00405376909110248,"Pde1b/Arf4/Hif1a/Tpbg/Ythdf1/Git1/Hmgcr/Gpr88/Mecp2/Abl2/Cic/Rapgef3/Tbr1/Crh/Nts/Csmd1/En1/Hrh2/Gucy2d/Hrh1/Nptx2/Htr2a/Shank3/Kalrn/Pak6/Crhr1/Cacna1e/Oprl1/Chrnb2/Drd1/Bdnf/Grin1/Fgf13/Drd5/Kcnq2/Snap25/Nrxn3/Tafa2/Neurod2/Shank2/Tac1/Slc12a5/Atp1a3",43
"GO:0030490","maturation of SSU-rRNA","17/1841","49/17229",0.346938775510204,3.24682681328914,5.44765122912309,6.54589638381348e-06,0.00476377609332026,0.00469409674891888,"Kri1/Riok3/Tbl3/Dcaf13/Rcl1/Ngdn/Pwp2/Wdr43/Nol10/Heatr1/Fcf1/Bysl/Nat10/Utp3/Nob1/Utp4/Wdr46",17
"GO:0008306","associative learning","30/1841","125/17229",0.24,2.2460401955459,4.83605745466283,1.567605290962e-05,0.0101406644488675,0.00999233781958231,"Pde1b/Hif1a/Tpbg/Hmgcr/Mecp2/Abl2/Rapgef3/Tbr1/Crh/Nts/Csmd1/Hrh2/Gucy2d/Hrh1/Nptx2/Shank3/Crhr1/Cacna1e/Oprl1/Chrnb2/Drd1/Bdnf/Grin1/Drd5/Snap25/Tafa2/Neurod2/Shank2/Tac1/Atp1a3",30
"GO:0030534","adult behavior","39/1841","188/17229",0.207446808510638,1.94139112646919,4.48905290488966,3.56224758881832e-05,0.0207394054621003,0.0204360519569051,"Cstb/Alk/Pax5/Rnf180/Mecp2/Abl2/Htra2/Eps8/Slc1a2/Pcdh17/Ghsr/En1/Htr2a/Shank3/Nlgn2/Trh/Kalrn/Cxcl12/Slitrk5/Oprd1/Sptbn2/Sez6l/Crhr1/Chrnb2/Drd1/Lep/Bdnf/Grin1/Sez6/Scn1a/Mir96/Nrxn3/Grm2/Glra1/Shank2/Pcdh15/Unc79/Gabrg2/Atp1a3",39
