"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","93/843","337/15704",0.275964391691395,5.14085979492487,18.3017246197059,2.57238914182668e-41,1.2126242414571e-37,9.45014537365801e-38,"Nlrc5/Ifitm2/Bcl3/Irak3/Ifitm1/Htra1/Zbp1/Lcn2/Ifitm3/Irf7/Apobec3/Tlr7/Bst2/Lgals9/Zc3h12a/Pmaip1/Ifih1/Ifi207/Stat2/Rtp4/Ikbke/Trim21/Mmp12/Irf1/Eif2ak2/Odc1/Irgm1/Zc3hav1/Parp9/Oasl1/Il17ra/Slfn8/Trim25/Tnf/Myd88/Irgm2/Mlkl/Gbp4/Gbp2/Ifit3b/Fgl2/Rela/Isg20/Oasl2/Slfn9/Gbp7/Usp18/Ifit1/Ifit1bl1/Dtx3l/Ddx60/Il6/Igtp/Ifit3/Rigi/Plscr1/Stat1/Isg15/Oas1b/Vwce/Pycard/Oas3/Il21/Oas1g/Nlrp3/Trim30a/Tlr3/Nmi/Oas1a/Ifit2/Acod1/Il1b/Tgtp1/Hspb1/Ripk3/Trim5/Trim56/Dhx58/Nlrp6/Trim30d/Trim34a/Apobec1/Ifit1bl2/Ifitm7/Oas2/Ifi27l2b/Trim12a/Mx2/Sting1/Ifi203/Cd40/Oas1c/Trim34b",93
"GO:0002831","regulation of response to biotic stimulus","107/843","469/15704",0.228144989339019,4.25004615964408,17.0190693061554,4.073035625122e-39,6.63051569040939e-36,5.16725091207127e-36,"Nlrc5/Cd14/Gbp3/Serping1/Irak3/Htra1/Il18rap/Zbp1/Lbp/Casp4/Irf7/Tap1/Apobec3/Tlr7/Rnf125/Lgals9/Ifi204/Tlr2/Zc3h12a/Nfkbiz/Ifih1/Tap2/Ifi207/Stat2/Ikbke/Trim21/Crtam/Mmp12/Gimap5/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Parp9/Oasl1/Pim1/Trim25/Tnf/Fpr2/Myd88/Fgr/Irgm2/Gbp4/Vav1/Gbp2/Nfkbia/Fgl2/Hmgb2/Spi1/Rela/Parp14/Stat5a/Cxcl1/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Usp18/Dtx3l/Ddx60/Igtp/Tifa/Rigi/Plscr1/Ifi35/Stat1/Isg15/Oas1b/Cxcl5/A2m/Pycard/Nod2/Oas3/Il21/Oas1g/Nlrp3/Tirap/Trib1/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/Il1b/H2-T23/Trim5/Trim56/Dhx58/Nlrp6/Ifi205/Pvr/Trim30d/S100a8/Casp8/Clec2d/Trim12a/S100a9/Ccr1/Sting1/Ifi203/Oas1c",107
"GO:0051607","defense response to virus","81/843","269/15704",0.301115241635688,5.60938760930823,18.161308625493,4.21967481358255e-39,6.63051569040939e-36,5.16725091207127e-36,"Nlrc5/Ifitm2/Ifitm1/Htra1/Zbp1/Ifitm3/Irf7/Apobec3/Tlr7/Bst2/Zc3h12a/Pmaip1/Ifih1/Ifi207/Stat2/Rtp4/Trim21/Mmp12/Irf1/Eif2ak2/Irgm1/Zc3hav1/Parp9/Oasl1/Slfn8/Trim25/Tnf/Myd88/Irgm2/Mlkl/Gbp4/Gbp2/Ifit3b/Fgl2/Rela/Isg20/Oasl2/Slfn9/Gbp7/Usp18/Ifit1/Ifit1bl1/Dtx3l/Ddx60/Il6/Igtp/Ifit3/Rigi/Plscr1/Stat1/Isg15/Oas1b/Pycard/Oas3/Oas1g/Nlrp3/Trim30a/Tlr3/Oas1a/Ifit2/Acod1/Il1b/Ripk3/Trim5/Trim56/Dhx58/Nlrp6/Trim30d/Trim34a/Apobec1/Ifit1bl2/Ifitm7/Oas2/Ifi27l2b/Trim12a/Mx2/Sting1/Ifi203/Cd40/Oas1c/Trim34b",81
"GO:0031349","positive regulation of defense response","102/843","434/15704",0.235023041474654,4.37817537760139,16.9976398851091,1.70364495031358e-38,2.00774557394456e-35,1.56466338857747e-35,"Nlrc5/Tnfrsf1a/Cd14/Gbp3/Irak3/Il18rap/Zbp1/Lbp/Casp4/Irf7/Tlr7/Rnf125/Lgals9/Ifi204/Tlr2/Nfkbiz/Ifih1/Ifi207/Ikbke/Map3k8/Crtam/Mmp12/Gimap5/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Parp9/Oasl1/Il17ra/Casp12/Trim25/Tnf/Fpr2/Myd88/Irgm2/Cebpb/Vav1/Gbp2/Fcer1g/Nfkbia/Hmgb2/Spi1/Rela/Stat5a/Cxcl1/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Ripk1/Ddx60/C3/Il6/Igtp/Tifa/Rigi/Plscr1/Ifi35/Oas1b/Ptgs2/Pycard/Nod2/Oas3/Il21/Trpv4/Ctsc/Oas1g/Nupr1/Gsdmd/Nlrp3/Tirap/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/Il1b/H2-T23/Trim5/Lta/Trim56/Dhx58/Nlrp6/Ifi205/Pvr/Trim30d/Serpine1/Ccl3/S100a8/Trim12a/S100a9/Sting1/Ifi203/Nppa/Oas1c",102
"GO:0045088","regulation of innate immune response","96/843","390/15704",0.246153846153846,4.58552787663108,17.0774165219639,4.89124829294527e-38,4.6114688905888e-35,3.59378032471136e-35,"Nlrc5/Cd14/Gbp3/Serping1/Irak3/Il18rap/Zbp1/Lbp/Casp4/Irf7/Tap1/Tlr7/Rnf125/Lgals9/Ifi204/Tlr2/Nfkbiz/Ifih1/Tap2/Ifi207/Stat2/Ikbke/Trim21/Crtam/Mmp12/Gimap5/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Parp9/Oasl1/Pim1/Trim25/Tnf/Fpr2/Myd88/Fgr/Irgm2/Vav1/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Parp14/Stat5a/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Usp18/Ddx60/Igtp/Tifa/Rigi/Plscr1/Ifi35/Isg15/Oas1b/A2m/Pycard/Nod2/Oas3/Il21/Oas1g/Nlrp3/Tirap/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/H2-T23/Trim5/Trim56/Dhx58/Nlrp6/Ifi205/Pvr/Trim30d/S100a8/Casp8/Clec2d/Trim12a/S100a9/Ccr1/Sting1/Ifi203/Oas1c",96
"GO:0002443","leukocyte mediated immunity","89/843","346/15704",0.257225433526012,4.79177723379892,16.986136824412,6.76960919195447e-37,5.27366220930609e-34,4.10983656978725e-34,"Il4ra/Bcl3/Csf2rb/Serping1/Il18rap/Irf7/Tap1/Slfn2/Bst2/Lgals9/Fcgr4/Tlr2/Nfkbiz/C1s1/H2-Q7/Tap2/Crtam/Fas/Gimap5/Il1r1/H2-K1/Csf2rb2/Icosl/Stx11/Gab2/Parp3/Tnf/Myd88/Fgr/Vav1/H2-D1/Fcer1g/Fgl2/Spi1/H2-Q6/Stat5a/Cxcl1/Cd274/Icam1/Rac2/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Rigi/Il20rb/Cxcl5/Nod2/C8b/Il21/Ctsc/Pirb/Nlrp3/C1ra/Hmox1/H2-T22/Arid5a/Tlr3/Fcgr2b/Ager/Fcer2a/Il1b/C8a/H2-T23/Ripk3/Lilrb4a/Lta/Nlrp6/Pvr/C2/Itgam/Clcf1/Tac4/Fes/H2-Q2/Ccl3/Myo1g/H2-Q1/Scnn1b/H2-T10/Fut7/Clec2d/Cd40/Nppa/Foxf1/Slamf1/H2-Q10/H2-Bl",89
"GO:0019221","cytokine-mediated signaling pathway","94/843","386/15704",0.243523316062176,4.5365245023018,16.7552293397655,7.83106395102728e-37,5.27366220930609e-34,4.10983656978725e-34,"Il4ra/Nlrc5/Ifitm2/Tnfrsf1a/Csf2rb/Irak3/Ifitm1/Il18rap/Zbp1/Ifitm3/Casp4/Irf7/Il6ra/Il13ra1/Csf1/Nfkbiz/Ifih1/Stat2/Klf6/Ikbke/Mmp12/Il1r1/Irf1/Osmr/Stat3/Irak2/Irgm1/Csf2rb2/Tnip2/Parp9/Oasl1/Il17ra/Fzd4/Socs3/Cxcl13/Tnf/Myd88/Irgm2/Ccl7/Fcer1g/Nfkbia/Spi1/Rela/Parp14/Stat5a/Cxcl1/Csf3/Oasl2/Fosl1/Usp18/Ripk1/Il6/Tnfrsf1b/Igtp/Tifa/Ccl12/Stat1/Il20rb/Isg15/Oas1b/Cxcl5/Pycard/Sphk1/Oas3/Il15ra/Cd44/Oas1g/Pirb/Tnfrsf4/Ccl9/Ccl17/Tnfsf13b/Oas1a/Ccl11/Socs1/Il1b/Naip2/Lilrb4a/Ackr3/Trim56/Gpr35/Nlrp6/Ccl3/Ifitm7/Oas2/Il10/Il1a/Edn1/Ccr1/Sting1/Ccrl2/Cd40/Oas1c/Ccl4",94
"GO:0002697","regulation of immune effector process","86/843","334/15704",0.25748502994012,4.79661317933528,16.7037405689546,1.06631345812106e-35,6.28325205197834e-33,4.89662364321381e-33,"Il4ra/Serping1/Irak3/Il18rap/Lbp/Casp4/Pglyrp1/Tap1/Il13ra1/Tlr7/Bst2/Lgals9/Tlr2/Zc3h12a/Nfkbiz/H2-Q7/Tap2/Litaf/Crtam/Gimap5/Il1r1/Irf1/H2-K1/Gab2/Parp3/Tnf/Myd88/Fgr/Vav1/H2-D1/Fcer1g/Fgl2/Spi1/H2-Q6/Stat5a/Cxcl1/Cd274/Lacc1/Ddx60/Rac2/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Rigi/Il20rb/Cxcl5/A2m/Pycard/Nod2/Il21/Nlrp3/Tnfrsf4/Hmox1/Tirap/H2-T22/Arid5a/Tlr3/Fcgr2b/Ager/Fcer2a/Il1b/H2-T23/Ripk3/Lilrb4a/Lta/Dhx58/Pvr/Itgam/Clcf1/Fes/H2-Q2/H2-Q1/Il10/H2-T10/Fut7/Clec2d/Tnfrsf14/S100a9/Cd40/Nppa/Foxf1/Slamf1/H2-Q10/H2-Bl",86
"GO:0001819","positive regulation of cytokine production","95/843","416/15704",0.228365384615385,4.25415183867141,16.0210223803781,9.26085254201422e-35,4.8506287647839e-32,3.78016086217891e-32,"Il4ra/Cyp1b1/Bcl3/Tnfrsf1a/Cd14/Irak3/Lbp/Casp4/Irf7/Il6ra/Tlr7/Lgals9/Tlr2/Ifih1/Irf8/Ifi207/Ikbke/Crtam/Mmp12/Gimap5/Il1r1/Irf1/Eif2ak2/Stat3/Icosl/Zc3hav1/Il17ra/Tnf/Myd88/Fgr/Runx1/Cebpb/P2ry2/C5ar1/Fcer1g/Hmgb2/Rela/Cybb/Stat5a/Clec5a/Cd274/Lacc1/Ripk1/C3/Il6/B2m/Rigi/Stat1/Il20rb/Isg15/Oas1b/Ptgs2/Pycard/Nod2/Sphk1/Oas3/Il21/Trpv4/Thbs1/Oas1g/Gsdmd/Nlrp3/Tirap/Chi3l1/Arid5a/Tigit/Tlr3/Fcgr2b/Ager/Oas1a/Il1b/H2-T23/Hspb1/Mcoln2/Lta/Trim56/Dhx58/Nos2/Arrdc4/Serpine1/Ccl3/Oas2/Il10/Casp8/Nox1/Il1a/Tnfrsf14/Sting1/Itk/Ifi203/Cd40/Pnp2/Slamf1/Oas1c/Ccl4",95
"GO:0045089","positive regulation of innate immune response","82/843","329/15704",0.249240121580547,4.64302119727273,15.9049815827974,5.95052564520865e-33,2.80507778915136e-30,2.18603521071349e-30,"Nlrc5/Cd14/Gbp3/Irak3/Il18rap/Zbp1/Lbp/Casp4/Irf7/Tlr7/Rnf125/Lgals9/Ifi204/Tlr2/Nfkbiz/Ifih1/Ifi207/Ikbke/Crtam/Mmp12/Gimap5/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Parp9/Oasl1/Trim25/Tnf/Fpr2/Myd88/Irgm2/Vav1/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Stat5a/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Ddx60/Igtp/Tifa/Rigi/Plscr1/Ifi35/Oas1b/Pycard/Nod2/Oas3/Il21/Oas1g/Nlrp3/Tirap/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/H2-T23/Trim5/Trim56/Dhx58/Nlrp6/Ifi205/Pvr/Trim30d/S100a8/Trim12a/S100a9/Sting1/Ifi203/Oas1c",82
