"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","53/436","161/7024",0.329192546583851,5.3033221266169,14.2097873493227,1.54156619739897e-25,4.59386726824892e-23,3.39144563427773e-23,"21937/21356/54123/21354/69550/24088/71586/15018/21355/20847/56489/11796/14102/19106/14972/78781/12702/21926/17874/14964/18035/19697/110557/16391/231805/12266/16193/20293/12010/15015/230073/20846/23961/246727/23960/15039/12122/142980/246730/16176/15040/213233/16992/15013/246728/630294/15006/12370/15024/230979/72512/15007/14963",53
"Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection","54/436","184/7024",0.293478260869565,4.72796170721979,13.1819629595944,2.77920690533367e-23,4.14101828894716e-21,3.05712759586703e-21,"12575/21356/54123/21354/24088/15018/21355/17869/20847/56489/14102/18034/19106/20848/19698/14972/21926/17874/14964/18035/19697/110557/16391/15894/19766/16193/12010/15015/230073/20846/100038882/23961/17873/246727/12505/23960/15039/12122/246730/18037/14128/15040/23882/213233/15013/246728/630294/15006/12370/15024/16408/21939/15007/14963",54
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","45/436","181/7024",0.248618784530387,4.00527142784733,10.5372553247123,1.92865623898587e-16,1.91579853072596e-14,1.41434790858964e-14,"16190/21937/12983/16174/16194/16164/12977/14102/16177/18414/12984/16172/55985/21926/20306/21813/14825/12985/16193/21938/20293/213208/20311/21933/60505/16169/22163/20308/20295/24099/20292/16176/16992/12778/56708/27279/20302/329244/16153/16175/16878/230979/12768/21939/20303",45
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","25/436","57/7024",0.43859649122807,7.06582971189441,11.8285775142674,5.31076139483821e-16,3.95651723915446e-14,2.92091876716101e-14,"21937/16174/16194/12977/55985/21926/20306/14825/16193/21938/20293/213208/20311/21933/20308/20295/20292/16992/12778/20302/329244/16153/230979/12768/20303",25
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","40/436","150/7024",0.266666666666667,4.2960244648318,10.496852045796,7.46756604520609e-16,4.45066936294283e-14,3.28572905989068e-14,"56338/55932/12363/54123/15951/20847/56489/11796/15944/12364/21926/17874/54396/14469/18035/19697/13058/14825/16391/229900/19766/16193/20293/20846/23961/66824/257632/246727/19200/23960/69146/216799/246730/16176/56532/17948/101613/246728/12370/72512",40
"Human Diseases","Immune disease","mmu05332","Graft-versus-host disease","18/436","28/7024",0.642857142857143,10.3564875491481,12.7612948410763,9.83130043099068e-16,4.8828792140587e-14,3.60481015802992e-14,"15018/14102/14972/21926/14964/110557/16193/15015/15039/16176/15040/15013/630294/15006/15024/16175/15007/14963",18
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","36/436","132/7024",0.272727272727273,4.39366138448707,10.125363459154,1.04704111883139e-14,4.4574036201679e-13,3.29070065918436e-13,"21937/54123/170743/71586/20847/56489/14102/19106/12702/217069/21926/17874/18035/19697/16391/15894/16193/20293/230073/20846/23961/21933/66824/246727/23960/216799/12122/142980/246730/16176/18815/246728/12370/16175/17858/50528",36
"Human Diseases","Immune disease","mmu05330","Allograft rejection","17/436","29/7024",0.586206896551724,9.4438468838975,11.7212322832768,5.79169329191773e-14,2.15740575123936e-12,1.59271565527738e-12,"15018/14102/14972/21926/14964/110557/15015/15039/15040/15013/630294/15006/16153/15024/21939/15007/14963",17
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","32/436","112/7024",0.285714285714286,4.60288335517693,9.88746893646908,8.09110432134539e-14,2.67905454195658e-12,1.97782550077332e-12,"12051/21937/12977/26410/11796/14102/16362/20339/12702/21926/74568/12608/18035/19697/22329/14825/15894/19766/16193/21938/20293/15953/20311/19225/257632/16176/56532/16992/26427/12370/16878/13614",32
"Environmental Information Processing","Signal transduction","mmu04064","NF-kappa B signaling pathway","28/436","90/7024",0.311111111111111,5.01202854230377,9.85419458229406,2.92661654588717e-13,8.72131730674377e-12,6.43855640095177e-12,"21937/12475/16803/11796/16177/18034/19698/217069/21926/17874/18035/19697/22329/14825/15894/19766/230073/19225/17873/117149/24099/16176/23882/16992/12045/16818/21939/20303",28
"Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus","18/436","36/7024",0.5,8.05504587155963,10.9169778132365,4.26957125177284e-13,1.15666566638937e-11,8.53914250354568e-12,"15018/14102/14972/21926/14964/110557/15015/15039/16176/15040/16992/15013/630294/15006/15024/16175/15007/14963",18
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease","16/436","30/7024",0.533333333333333,8.59204892966361,10.7197484760169,2.41375945016935e-12,5.9465701340717e-11,4.39008533387843e-11,"15018/14102/14972/14964/110557/15015/15039/15040/15013/630294/15006/16153/15024/21939/15007/14963",16
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","22/436","60/7024",0.366666666666667,5.90703363914373,9.81958339365029,2.59414133365544e-12,5.9465701340717e-11,4.39008533387843e-11,"21356/13039/21354/15018/21355/14972/21926/14964/110557/19186/12010/15015/15039/15040/213233/15013/630294/15006/15024/15007/621823/14963",22
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","38/436","174/7024",0.218390804597701,3.5182958979226,8.65294374056372,3.82945107315453e-12,8.07786978738523e-11,5.96352803095554e-11,"21937/12575/54123/15162/15018/17869/20847/56489/14102/19106/20848/14972/14964/18035/19697/110557/14825/16391/15894/12266/16193/15015/20846/14173/19225/22695/15039/12122/142980/15040/15013/630294/15006/12370/15024/12768/15007/14963",38
"Human Diseases","Infectious disease: viral","mmu05162","Measles","30/436","113/7024",0.265486725663717,4.27701550702281,9.03389535045908,4.06604183928787e-12,8.07786978738523e-11,5.96352803095554e-11,"54123/170743/24088/71586/20847/56489/14102/19106/20848/17874/18035/19697/20850/16391/17698/16193/230073/20846/23961/246727/23960/12122/14130/246730/16176/246728/12370/16175/17858/27218",30
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/436","77/7024",0.311688311688312,5.02132729655665,9.12733348439744,1.46250931331707e-11,2.72392359605305e-10,2.01095030581098e-10,"16819/56489/16172/21926/12608/20306/18035/19697/14825/12985/14283/16193/20293/20311/19225/20295/20292/16176/74180/17386/20201/12370/20202/17833",24
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease","41/436","208/7024",0.197115384615385,3.17554693013409,8.19338035739684,1.74502121932329e-11,3.05891954916671e-10,2.25826275441838e-10,"21937/20344/16194/170743/24088/71586/50908/20847/56489/19106/20848/21926/17874/12273/18035/19697/13058/12985/16391/12266/16193/20293/230073/20846/100038882/23961/110382/246727/23960/216799/50909/142980/246730/16176/230558/14962/12263/246728/17858/72512/50528",41
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","18/436","43/7024",0.418604651162791,6.743759334329,9.71850420460697,1.90533009129581e-11,3.15437981781195e-10,2.32873677825043e-10,"20344/24088/20339/21926/17874/22329/12985/15894/16193/20293/21825/16633/16176/21828/16153/16408/21939/71683",18
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","41/436","212/7024",0.193396226415094,3.11563095032024,8.04633863668183,3.29457683379375e-11,5.16728366563441e-10,3.81477317597171e-10,"21937/12575/21356/21354/16194/15018/21355/17869/14102/16177/20848/14972/21926/14964/18035/19697/110557/19766/19354/16193/20293/12010/15015/19225/15039/12122/16176/15040/213233/15013/20302/26427/630294/15006/12370/15024/12768/72512/15007/14963/20303",41
